 Code Secteur ; Libellé Secteur ; Code Rayon ; Libellé Rayon ; Code Groupe de Famille  ; Libellé  Groupe de Famille  ; Code Famille  ; Libellé  Famille  ; Code Sous-Famille  ; Libellé  Sous-Famille  ; Code Unité de Besoin  ; Code UG  ; EAN ; Article Libellé Court ; Article Libellé Long ; Libellé Marque ; Libellé Fournisseur ; PAHT ; PV Mag ; PV Mag HT ; TVA en % ; Quantité vendue * ; Type Qté ; Montant achat HT * ; Montant vente TTC * ; Marge en valeur ; Marge en % ; Stock en quantité ;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;99;1614031;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;12,5;15,95;2,618483;0,1556097;0;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;1; ANANAS ;99;1614031;3,56007E+12; 3X1/4 ANANAS TRCH ; 3X1/4 ANANAS TRCH JUS CRF ; CRF CLASS ; TL FOOD ;2,5;3,19;3,02;0,055;5; UVC ;12,5;15,95;2,618483;0,1556097;0;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;  ;11;11;  ;  ;  ;  ;  ;  ;  ;  ;81;  ;163,85;226,75;51,07891;0,2068315;160;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;2;1181804;1;  ;  ;  ;  ;  ;  ;  ;  ;1;  ;2,7;3,19;0,3236967;0,09618229;32;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;2;1181804;3,56007E+12; 850ML MELANGE DE F ; 850ML MELANGE DE FRUITS C ; CRF CLASS ; TL FOOD ;2,7;2,99;2,83;0,055;1; UVC ;2,7;3,19;0,3236967;0,09618229;32;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;3;2182728;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;15,2;21,45;5,131753;0,2267702;6;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;3;2182728;3,08092E+12; 4X120G ANANAS MAND ; ANANAS MANDARINE 4X120G ; ST MAMET ; SAINT MAMET DISTRIBU ;3,04;4,29;4,07;0,055;5; UVC ;15,2;21,45;5,131753;0,2267702;6;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;4;67876;1;  ;  ;  ;  ;  ;  ;  ;  ;5;  ;10,45;12,75;1,635308;0,1215729;15;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;4;67876;3,08092E+12; 425G COCKT.FRUITS ; 425G COCKT.FRUITS SIR. ST ; ST MAMET ; SAINT MAMET DISTRIBU ;2,09;2,55;2,42;0,055;5; UVC ;10,45;12,75;1,635308;0,1215729;15;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;4;1225335;1;  ;  ;  ;  ;  ;  ;  ;  ;9;  ;7,83;14,85;6,24583;0,3986678;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;4;1225335;3,56007E+12; 1/2 COCKTAIL FRT S ; 1/2 COCKTAIL FRT SIROP CR ; CRF CLASS ; SOLARYS ;0,87;1,65;1,56;0,055;9; UVC ;7,83;14,85;6,24583;0,3986678;11;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;5;3317721;1;  ;  ;  ;  ;  ;  ;  ;  ;12;  ;18,24;28,2;8,489858;0,2853638;15;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;5;3317721;3,56007E+12; 4/4 COCK.FRT SIROP ; 4/4 COCK.FRT SIROP LEG.CR ; CRF CLASS ; SOLARYS ;1,52;2,35;2,23;0,055;12; UVC ;18,24;28,2;8,489858;0,2853638;15;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;5;4102759;1;  ;  ;  ;  ;  ;  ;  ;  ;11;  ;16,28;18,59;1,340853;0,06836744;14;  ;  ;
1; PGC ;14; EPICERIE ;143; DESSERTS, AIDE PATISSERIE, DIE ;1430; FRUITS AUX SIROP ;2; MELANGES DE FRUITS ;5;4102759;3,56007E+12; 4/4 COCKTAIL 4 FRU ; 4/4 COCKTAIL 4 FRUITS SL ; SIMPL ; SOLARYS ;1,48;1,69;1,6;0,055;11; UVC ;16,28;18,59;1,340853;0,06836744;14;  ;  ;
